Genes	dNdS
Solyc00g005000	0.18989
Solyc00g005050	999.00000
Solyc00g005840	0.20396
Solyc00g006490	0.66106
Solyc00g006800	0.02828
Solyc00g006810	1.87864
Solyc00g006830	0.23778
Solyc00g007010	0.69356
Solyc00g007060	0.32097
Solyc00g007070	0.12926
Solyc00g007080	0.05627
Solyc00g007090	0.05854
Solyc00g007100	0.13953
Solyc00g007110	0.45679
Solyc00g007130	0.31626
Solyc00g007190	0.21953
Solyc00g007200	0.06470
Solyc00g007220	0.41581
Solyc00g007260	0.38856
Solyc00g007270	0.00010
Solyc00g007300	0.25862
Solyc00g008680	0.28904
Solyc00g009020	0.03129
Solyc00g009040	0.32090
Solyc00g009050	0.90240
Solyc00g009060	0.24441
Solyc00g009070	0.15485
Solyc00g009080	2.17655
Solyc00g009090	0.12821
Solyc00g009100	0.19374
Solyc00g009110	0.05774
Solyc00g009120	0.47044
Solyc00g009130	0.00010
Solyc00g009140	0.48052
Solyc00g009760	0.40208
Solyc00g011150	0.36551
Solyc00g011880	0.77014
Solyc00g012440	0.22669
Solyc00g013130	0.00010
Solyc00g013140	0.00010
Solyc00g013160	0.00010
Solyc00g013170	0.37900
Solyc00g013180	0.00010
Solyc00g013190	0.00010
Solyc00g014830	0.00010
Solyc00g014840	0.00010
Solyc00g014850	0.00010
Solyc00g019730	0.38642
Solyc00g019740	0.22673
Solyc00g019750	0.36011
Solyc00g019950	0.37451
Solyc00g019960	0.36456
Solyc00g019970	0.00010
Solyc00g019980	0.00010
Solyc00g020010	0.00010
Solyc00g020020	0.35273
Solyc00g020040	0.37444
Solyc00g021630	0.00010
Solyc00g021640	0.32916
Solyc00g022100	0.37235
Solyc00g022110	0.67113
Solyc00g024150	0.18467
Solyc00g024160	0.00010
Solyc00g025290	0.25236
Solyc00g026160	0.20595
Solyc00g027770	0.27105
Solyc00g029190	0.06180
Solyc00g030510	0.14873
Solyc00g030520	0.05177
Solyc00g033460	0.17706
Solyc00g039990	1.19799
Solyc00g044350	0.32151
Solyc00g047700	999.00000
Solyc00g048510	0.09251
Solyc00g049210	0.38490
Solyc00g049520	0.35205
Solyc00g050130	0.39913
Solyc00g050430	0.14690
Solyc00g052940	0.08565
Solyc00g053440	0.32143
Solyc00g056680	0.00010
Solyc00g059100	0.61239
Solyc00g059500	0.00010
Solyc00g071180	0.40068
Solyc00g072100	0.98422
Solyc00g072400	0.16458
Solyc00g075030	0.39002
Solyc00g075040	0.45343
Solyc00g075440	9.91038
Solyc00g080750	0.26482
Solyc00g082150	0.05036
Solyc00g085070	0.10281
Solyc00g090870	0.08269
Solyc00g091170	0.51716
Solyc00g094530	0.42730
Solyc00g094540	0.31334
Solyc00g096460	0.04976
Solyc00g097960	0.53548
Solyc00g098560	0.57102
Solyc00g099580	0.38484
Solyc00g100880	0.22465
Solyc00g106650	0.00010
Solyc00g110870	0.19189
Solyc00g117450	0.35949
Solyc00g118690	0.37618
Solyc00g125980	0.48361
Solyc00g125990	999.00000
Solyc00g127670	0.30570
Solyc00g127870	999.00000
Solyc00g128870	2.12342
Solyc00g136260	0.40708
Solyc00g136560	1.56006
Solyc00g138060	0.38643
Solyc00g140060	0.96644
Solyc00g142160	0.00010
Solyc00g142170	0.22155
Solyc00g156980	0.11875
Solyc00g157080	0.14403
Solyc00g160780	0.19642
Solyc00g164680	0.36427
Solyc00g170200	0.42906
Solyc00g171710	0.44787
Solyc00g171810	0.27850
Solyc00g178340	0.33830
Solyc00g201160	0.17154
Solyc00g209460	0.37336
Solyc00g217960	0.26932
Solyc00g227860	0.29066
Solyc00g230070	0.00010
Solyc00g230080	0.36895
Solyc00g231780	0.00010
Solyc00g233480	0.00010
Solyc00g244290	0.36838
Solyc00g244300	0.26882
Solyc00g247300	0.11433
Solyc00g256710	0.90026
Solyc00g272810	0.31737
Solyc00g278110	0.42952
Solyc00g289230	0.36757
Solyc00g311230	0.88850
Solyc00g316530	0.39279
Solyc00g323130	0.00010
Solyc01g005000	0.14624
Solyc01g005010	0.24357
Solyc01g005020	0.25768
Solyc01g005030	0.33539
Solyc01g005040	0.16255
Solyc01g005050	0.21714
Solyc01g005060	0.14326
Solyc01g005070	0.17591
Solyc01g005080	0.19552
Solyc01g005090	0.42942
Solyc01g005100	0.29813
Solyc01g005120	0.16504
Solyc01g005130	0.23120
Solyc01g005140	0.32206
Solyc01g005150	0.23897
Solyc01g005180	0.11807
Solyc01g005190	999.00000
Solyc01g005200	1.26080
Solyc01g005210	0.01023
Solyc01g005220	0.12808
Solyc01g005230	0.00010
Solyc01g005240	0.13799
Solyc01g005250	0.02170
Solyc01g005260	0.00010
Solyc01g005270	0.19309
Solyc01g005280	0.23699
Solyc01g005290	0.00010
Solyc01g005300	0.12258
Solyc01g005310	0.13294
Solyc01g005320	999.00000
Solyc01g005330	0.11022
Solyc01g005340	0.09904
Solyc01g005360	0.05430
Solyc01g005370	0.09227
Solyc01g005380	0.18891
Solyc01g005390	0.06124
Solyc01g005400	0.16979
Solyc01g005410	0.04296
Solyc01g005420	0.34071
Solyc01g005430	0.30754
Solyc01g005440	0.72921
Solyc01g005460	0.66662
Solyc01g005470	0.27022
Solyc01g005480	0.67867
Solyc01g005490	0.20650
Solyc01g005500	0.21379
Solyc01g005510	0.16295
Solyc01g005520	0.50933
Solyc01g005530	0.25158
Solyc01g005540	0.10787
Solyc01g005550	0.13314
Solyc01g005560	0.08501
Solyc01g005570	0.00010
Solyc01g005580	0.00010
Solyc01g005600	0.30876
Solyc01g005610	0.00010
Solyc01g005620	0.12924
Solyc01g005630	0.31154
Solyc01g005640	0.36489
Solyc01g005660	0.40181
Solyc01g005670	0.56848
Solyc01g005680	0.19378
Solyc01g005690	0.10441
Solyc01g005700	0.11830
Solyc01g005760	0.00010
Solyc01g005790	0.16495
Solyc01g005800	0.38388
Solyc01g005810	0.13692
Solyc01g005820	0.00010
Solyc01g005830	0.17091
Solyc01g005840	0.31227
Solyc01g005850	0.08857
Solyc01g005860	0.85052
Solyc01g005870	1.26526
Solyc01g005900	123.42243
Solyc01g005910	0.13948
Solyc01g005920	0.13612
Solyc01g005930	1.43029
Solyc01g005950	0.04171
Solyc01g005960	0.08205
Solyc01g005970	0.03449
Solyc01g005980	0.11374
Solyc01g005990	0.29214
Solyc01g006000	0.63146
Solyc01g006010	0.29467
Solyc01g006020	0.32802
Solyc01g006050	0.00010
Solyc01g006060	0.25367
Solyc01g006090	0.17856
Solyc01g006100	0.32371
Solyc01g006110	0.19493
Solyc01g006120	0.02913
Solyc01g006130	3.26098
Solyc01g006140	0.36499
Solyc01g006150	0.21140
Solyc01g006160	999.00000
Solyc01g006170	0.07552
Solyc01g006180	0.30549
Solyc01g006190	0.00010
Solyc01g006210	0.12876
Solyc01g006230	0.05122
Solyc01g006240	0.20067
Solyc01g006250	0.00010
Solyc01g006260	0.00010
Solyc01g006290	0.13342
Solyc01g006300	0.10358
Solyc01g006320	0.35018
Solyc01g006330	0.33919
Solyc01g006340	0.20704
Solyc01g006350	0.07548
Solyc01g006360	0.09706
Solyc01g006370	0.06252
Solyc01g006380	0.41269
Solyc01g006390	0.40999
Solyc01g006400	0.19787
Solyc01g006430	0.03332
Solyc01g006440	0.00010
Solyc01g006450	0.07409
Solyc01g006480	0.09185
Solyc01g006490	0.13591
Solyc01g006500	0.18822
Solyc01g006510	0.07696
Solyc01g006520	0.35642
Solyc01g006530	0.00010
Solyc01g006540	0.30199
Solyc01g006550	0.33610
Solyc01g006560	0.23711
Solyc01g006580	0.29754
Solyc01g006610	0.00010
Solyc01g006630	0.17021
Solyc01g006650	0.43881
Solyc01g006660	0.40234
Solyc01g006670	0.24174
Solyc01g006680	0.18952
Solyc01g006690	0.15376
Solyc01g006700	0.35609
Solyc01g006710	0.21211
Solyc01g006720	0.01993
Solyc01g006730	0.18434
Solyc01g006740	0.52468
Solyc01g006760	999.00000
Solyc01g006790	0.11757
Solyc01g006800	0.10103
Solyc01g006810	0.28196
Solyc01g006830	0.29589
Solyc01g006840	0.24997
Solyc01g006850	0.60939
Solyc01g006860	0.40595
Solyc01g006870	0.54707
Solyc01g006880	0.54624
Solyc01g006890	0.22351
Solyc01g006900	0.11064
Solyc01g006910	0.37012
Solyc01g006920	0.25527
Solyc01g006930	0.72086
Solyc01g006940	0.68347
Solyc01g006950	0.05085
Solyc01g006960	0.21501
Solyc01g006970	0.13248
Solyc01g006980	0.07844
Solyc01g006990	0.30872
Solyc01g007000	0.00010
Solyc01g007010	0.00010
Solyc01g007020	0.00010
Solyc01g007030	0.05140
Solyc01g007040	0.40142
Solyc01g007060	0.23570
Solyc01g007070	0.29032
Solyc01g007100	0.17848
Solyc01g007110	0.04112
Solyc01g007120	0.29827
Solyc01g007130	0.14237
Solyc01g007140	0.25536
Solyc01g007150	0.06552
Solyc01g007160	0.50316
Solyc01g007170	0.08069
Solyc01g007180	1.12834
Solyc01g007190	0.10000
Solyc01g007200	0.42233
Solyc01g007220	0.06309
Solyc01g007230	0.16608
Solyc01g007240	0.21822
Solyc01g007250	0.00010
Solyc01g007260	0.29514
Solyc01g007280	0.19609
Solyc01g007290	0.00010
Solyc01g007300	0.00010
Solyc01g007310	0.00010
Solyc01g007320	0.00010
Solyc01g007330	0.37306
Solyc01g007340	0.56341
Solyc01g007350	0.00010
Solyc01g007360	0.23747
Solyc01g007370	0.00010
Solyc01g007380	999.00000
Solyc01g007460	0.39822
Solyc01g007470	0.40682
Solyc01g007480	0.42915
Solyc01g007490	0.36477
Solyc01g007500	0.05654
Solyc01g007530	0.38171
Solyc01g007540	0.00010
Solyc01g007560	0.00010
Solyc01g007590	0.21183
Solyc01g007600	0.00010
Solyc01g007610	0.55132
Solyc01g007630	0.00010
Solyc01g007640	0.00010
Solyc01g007660	0.36551
Solyc01g007670	0.00010
Solyc01g007700	0.38171
Solyc01g007710	0.41397
Solyc01g007720	0.00010
Solyc01g007730	0.36128
Solyc01g007740	0.07184
Solyc01g007750	0.12199
Solyc01g007760	0.17029
Solyc01g007770	0.21103
Solyc01g007780	0.46026
Solyc01g007790	0.14790
Solyc01g007800	0.04702
Solyc01g007810	0.06296
Solyc01g007820	0.80669
Solyc01g007840	0.09433
Solyc01g007850	0.21092
Solyc01g007860	0.00010
Solyc01g007870	0.16289
Solyc01g007880	0.43680
Solyc01g007890	0.29975
Solyc01g007900	0.22067
Solyc01g007910	0.00010
Solyc01g007920	0.55900
Solyc01g007930	0.35904
Solyc01g007940	0.08755
Solyc01g007950	0.33987
Solyc01g007960	0.00010
Solyc01g007980	0.55609
Solyc01g007990	0.32252
Solyc01g008000	0.50766
Solyc01g008010	0.10370
Solyc01g008020	0.17900
Solyc01g008040	0.29452
Solyc01g008050	0.07480
Solyc01g008060	0.15009
Solyc01g008070	0.14015
Solyc01g008080	0.00010
Solyc01g008090	0.00010
Solyc01g008100	1.16046
Solyc01g008110	0.07332
Solyc01g008120	0.18433
Solyc01g008130	0.14412
Solyc01g008140	0.16505
Solyc01g008160	0.45255
Solyc01g008170	0.37118
Solyc01g008180	0.11505
Solyc01g008190	0.31563
Solyc01g008200	0.00010
Solyc01g008210	0.41422
Solyc01g008220	0.30898
Solyc01g008230	0.13677
Solyc01g008240	0.24408
Solyc01g008250	0.16156
Solyc01g008260	0.22378
Solyc01g008270	0.00010
Solyc01g008280	0.33529
Solyc01g008290	0.12858
Solyc01g008300	0.74500
Solyc01g008310	0.25505
Solyc01g008320	0.19381
Solyc01g008330	0.03364
Solyc01g008340	0.17562
Solyc01g008360	0.00010
Solyc01g008370	0.00010
Solyc01g008380	0.00010
Solyc01g008420	0.14241
Solyc01g008440	0.04195
Solyc01g008460	0.44530
Solyc01g008470	0.09585
Solyc01g008480	0.41674
Solyc01g008490	0.17774
Solyc01g008500	0.18103
Solyc01g008510	0.00010
Solyc01g008520	0.34241
Solyc01g008530	0.05490
Solyc01g008550	0.19172
Solyc01g008560	0.04863
Solyc01g008600	0.21001
Solyc01g008610	0.11735
Solyc01g008620	0.08388
Solyc01g008640	0.00010
Solyc01g008650	0.10254
Solyc01g008660	0.31043
Solyc01g008670	0.33188
Solyc01g008680	0.12744
Solyc01g008690	0.76951
Solyc01g008700	0.80531
Solyc01g008730	0.15807
Solyc01g008740	0.09869
Solyc01g008770	0.04720
Solyc01g008780	0.13472
Solyc01g008790	0.20766
Solyc01g008800	0.29231
Solyc01g008810	0.47820
Solyc01g008820	0.08579
Solyc01g008830	0.14029
Solyc01g008840	0.02513
Solyc01g008850	0.04291
Solyc01g008890	0.49933
Solyc01g008900	0.20484
Solyc01g008910	0.22648
Solyc01g008920	0.07929
Solyc01g008930	0.30288
Solyc01g008950	0.00010
Solyc01g008960	0.06674
Solyc01g008970	0.24835
Solyc01g008980	0.00010
Solyc01g008990	0.45271
Solyc01g009000	0.88340
Solyc01g009010	0.20358
Solyc01g009030	0.09816
Solyc01g009040	0.11525
Solyc01g009050	0.15034
Solyc01g009060	0.22740
Solyc01g009070	0.34555
Solyc01g009080	0.41119
Solyc01g009090	0.08738
Solyc01g009100	0.00010
Solyc01g009110	0.07094
Solyc01g009120	2.38746
Solyc01g009150	0.16319
Solyc01g009160	0.31721
Solyc01g009170	0.13509
Solyc01g009180	0.14766
Solyc01g009190	999.00000
Solyc01g009200	0.43445
Solyc01g009220	0.46854
Solyc01g009230	0.19977
Solyc01g009240	0.09938
Solyc01g009250	0.20330
Solyc01g009260	0.31892
Solyc01g009270	0.60804
Solyc01g009280	0.02877
Solyc01g009290	0.08780
Solyc01g009300	0.18102
Solyc01g009310	0.01698
Solyc01g009330	0.32998
